nr	colony	treatment	nr_measurement	date	weekday	day_since_start	week	video_order	recording_position	workers	w_yellow	w_blue	w_white	w_unmarked	pupae	incidents	death	death_external_factor	death_colorNA	death_yellow	death_blue	death_white	death_black	death_locationNA	death_nest	death_arena	sum_symptoms	clinic_colorNA	clinic_yellow	clinic_blue	clinic_white	clinic_black	slow	unresposive	posture_abnormal	moving_zigzag_limping	trembly_hinking	troubles	impaired_locomotion_pronounced	partial_paralysis	paralysis	newly_emerged_struggling	else	ants_sampled				
97	1	virus 	25	2021-04-12	Monday	59	9	4213	3	NA	NA	NA	NA	NA	NA	5	5	NA	5	0	0	NA	0	5	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
98	2	virus 	25	2021-04-12	Monday	59	9	4213	2	NA	NA	NA	NA	NA	NA	4	0	NA	0	0	0	NA	0	0	0	0	4	4	0	0	NA	0	1	1	0	0	0	0	0	0	0	0	2	0				
99	3	control	25	2021-04-12	Monday	59	9	4213	4	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0				
100	4	virus 	25	2021-04-12	Monday	59	9	4213	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
101	1	virus 	26	2021-04-14	Wednesday	61	9	3214	3	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0				
102	2	virus 	26	2021-04-14	Wednesday	61	9	3214	2	NA	NA	NA	NA	NA	NA	3	0	NA	0	0	0	NA	0	0	0	0	3	3	0	0	NA	0	2	0	0	0	0	0	0	0	0	0	1	0				
103	3	control	26	2021-04-14	Wednesday	61	9	3214	1	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	1	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	1	0				
104	4	virus 	26	2021-04-14	Wednesday	61	9	3214	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
105	1	virus 	27	2021-04-16	Friday	63	10	2143	2	NA	NA	NA	NA	NA	NA	3	2	NA	0	0	0	NA	2	0	0	2	1	1	0	0	NA	0	1	0	0	0	0	0	0	0	0	0	0	0				
106	2	virus 	27	2021-04-16	Friday	63	10	2143	1	NA	NA	NA	NA	NA	NA	3	0	NA	0	0	0	NA	0	0	0	0	3	3	0	0	NA	0	2	0	0	0	0	0	0	0	0	0	1	0				
107	3	control	27	2021-04-16	Friday	63	10	2143	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
108	4	virus 	27	2021-04-16	Friday	63	10	2143	3	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	0	0	1	NA	0	0	0	0	0	1	0	0	0	0	0	0	0				
109	1	virus 	28	2021-04-19	Monday	66	10	3214	3	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	0	0	1	NA	0	1	0	0	0	0	0	0	0	0	0	0	0				
110	2	virus 	28	2021-04-19	Monday	66	10	3214	2	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
111	3	control	28	2021-04-19	Monday	66	10	3214	1	NA	NA	NA	NA	NA	NA	1	0	NA	0	0	0	NA	0	0	0	0	1	0	0	0	NA	1	0	0	0	0	1	0	0	0	0	0	0	0				
112	4	virus 	28	2021-04-19	Monday	66	10	3214	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
113	1	virus 	29	2021-04-20	Tuesday	67	10	4231	4	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
114	2	virus 	29	2021-04-20	Tuesday	67	10	4231	2	NA	NA	NA	NA	NA	NA	2	0	NA	0	0	0	NA	0	0	0	0	2	0	0	1	NA	1	1	0	0	0	1	0	0	0	0	0	0	2				
115	3	control	29	2021-04-20	Tuesday	67	10	4231	3	NA	NA	NA	NA	NA	NA	2	0	NA	0	0	0	NA	0	0	0	0	2	0	0	1	NA	1	2	0	0	0	0	0	0	0	0	0	0	2				
116	4	virus 	29	2021-04-20	Tuesday	67	10	4231	1	NA	NA	NA	NA	NA	NA	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0				
