colony,focal_AntID,tagID,position,time_start,time_stop,exclude
c01,012,704,p2,2022-03-09T10:19:28.075103976Z,2022-03-09T10:21:14.075683774Z,0
c01,012,704,p2,2022-03-09T10:21:54.909257754Z,2022-03-09T10:24:51.743461327Z,0
c01,013,788,p1,2022-03-09T10:16:21.740795279Z,2022-03-09T10:19:06.575472275Z,0
c01,013,788,p1,2022-03-09T10:21:47.075904595Z,2022-03-09T10:23:39.909715191Z,0
c01,013,788,p1,2022-03-09T10:25:33.743675535Z,2022-03-09T10:33:28.246137705Z,0
c01,014,7e7,p1,2022-03-09T10:20:32.909258775Z,2022-03-09T10:20:45.242239256Z,0
c01,014,7e7,p1,2022-03-09T10:41:29.248646797Z,2022-03-09T10:41:40.415340594Z,0
c01,015,83f,p1,2022-03-09T10:10:44.239021505Z,2022-03-09T10:11:42.072654642Z,0
c01,015,83f,p1,2022-03-09T10:12:16.906188820Z,2022-03-09T10:13:15.573196544Z,0
c01,016,842,p1,2022-03-09T10:27:22.410870860Z,2022-03-09T10:28:04.577799218Z,1
c02,001,120,p1,2022-03-10T10:16:29.330293882Z,2022-03-10T10:17:48.997351202Z,0
c02,002,123,p1,2022-03-10T10:08:32.327850738Z,2022-03-10T10:11:00.495219728Z,1
c02,003,24a,p1,2022-03-10T10:07:59.661072285Z,2022-03-10T10:14:12.329533005Z,1
c02,003,24a,p1,2022-03-10T10:15:10.663150213Z,2022-03-10T10:16:47.996982294Z,1
c02,004,2a2,p2,2022-03-10T10:13:54.996106084Z,2022-03-10T10:14:23.496256242Z,0
c02,004,2a2,p2,2022-03-10T10:14:46.329677443Z,2022-03-10T10:17:45.830612302Z,0
c02,005,396,p2,2022-03-10T10:10:40.328460456Z,2022-03-10T10:13:57.662776426Z,0
c02,005,396,p2,2022-03-10T10:19:47.831167408Z,2022-03-10T10:20:07.831383943Z,0
c02,006,3a5,p2,2022-03-10T10:10:21.661680688Z,2022-03-10T10:13:55.996100346Z,0
c02,007,3ae,p1,2022-03-10T10:07:59.327567230Z,2022-03-10T10:12:35.328956673Z,1
c02,008,3b2,p1,2022-03-10T10:08:00.827654696Z,2022-03-10T10:10:06.994899916Z,0
c02,009,3fc,p1,2022-03-10T10:08:12.494414764Z,2022-03-10T10:10:31.661732692Z,0
c02,010,42e,p1,2022-03-10T10:07:57.827687134Z,2022-03-10T10:09:25.661405720Z,0
c02,010,42e,p1,2022-03-10T10:09:25.661405720Z,2022-03-10T10:19:19.497836059Z,0
c02,011,466,p2,2022-03-10T10:08:39.494560806Z,2022-03-10T10:09:27.994777681Z,0
