run,nr,colony,petridish,treatment,sample_type,conc,fluorescence_week1,fluorescence_week2,well,row,column,plate
2,7,C43,3.6,control,ant,NA,965.5,NA,E7,E,7,2.4
2,8,C43,3.6,control,ant,NA,33088.25,NA,F7,F,7,2.4
2,9,C43,3.6,control,ant,NA,385,NA,G7,G,7,2.4
2,10,C43,3.6,control,ant,NA,8946.75,NA,H7,H,7,2.4
2,11,C43,3.6,control,ant,NA,254.5,NA,A8,A,8,2.4
2,12,C43,3.6,control,ant,NA,565,NA,B8,B,8,2.4
2,13,C43,3.6,control,ant,NA,10394,NA,C8,C,8,2.4
2,14,C43,3.6,control,ant,NA,14612.5,NA,D8,D,8,2.4
2,15,C43,3.6,control,ant,NA,27637.5,NA,E8,E,8,2.4
2,16,C43,3.6,control,ant,NA,280.5,NA,F8,F,8,2.4
2,1,C43,3.7,low,ant,NA,789.5,NA,G8,G,8,2.4
2,2,C43,3.7,low,ant,NA,280.25,NA,H8,H,8,2.4
2,3,C43,3.7,low,ant,NA,13967.25,NA,A9,A,9,2.4
2,4,C43,3.7,low,ant,NA,351.75,NA,B9,B,9,2.4
2,5,C43,3.7,low,ant,NA,15992,NA,C9,C,9,2.4
2,6,C43,3.7,low,ant,NA,9992,NA,D9,D,9,2.4
2,7,C43,3.7,low,ant,NA,15966,NA,E9,E,9,2.4
2,8,C43,3.7,low,ant,NA,12124.5,NA,F9,F,9,2.4
2,9,C43,3.7,low,ant,NA,8135.75,NA,G9,G,9,2.4
2,10,C43,3.7,low,ant,NA,20105.75,NA,H9,H,9,2.4
2,11,C43,3.7,low,ant,NA,640.25,NA,A10,A,10,2.4
