ID,Colony,TagID,Container,Position,PosID,#ScanTime,Comment,
4362,c28,0x55c,Box_46,B06,Box_46_B06,2024-03-25T14:50:49Z,,
4363,c28,0x419,Box_46,C06,Box_46_C06,2024-03-25T14:51:48Z,,
4364,c28,0x768,Box_46,D06,Box_46_D06,2024-03-25T14:52:25Z,,
4365,c31,0x000,Box_46,E06,Box_46_E06,2024-03-26T14:08:05Z,,
4366,c31,0x78a,Box_46,F06,Box_46_F06,2024-03-26T14:08:41Z,,
4367,c31,0x452,Box_46,G06,Box_46_G06,2024-03-26T14:09:03Z,,
4368,c31,0x28c,Box_46,H06,Box_46_H06,2024-03-26T14:09:19Z,,
4369,c31,0x0b2,Box_46,A07,Box_46_A07,2024-03-26T14:10:34Z,,
4370,c31,0x352,Box_46,B07,Box_46_B07,2024-03-26T14:10:47Z,,
4371,c31,0x26e,Box_46,C07,Box_46_C07,2024-03-26T14:11:01Z,,
4372,c31,0x1db,Box_46,D07,Box_46_D07,2024-03-26T14:11:26Z,,
4373,c31,0x459,Box_46,E07,Box_46_E07,2024-03-26T14:11:53Z,,
4374,c31,0x164,Box_46,F07,Box_46_F07,2024-03-26T14:12:12Z,,
4375,c31,0x351,Box_46,G07,Box_46_G07,2024-03-26T14:12:34Z,,
4376,c31,0x7d6,Box_46,H07,Box_46_H07,2024-03-26T14:12:50Z,,
4377,c31,0x3b8,Box_46,A08,Box_46_A08,2024-03-26T14:13:19Z,,
4378,c31,0x4b0,Box_46,B08,Box_46_B08,2024-03-26T14:13:35Z,,
4379,c31,0x05a,Box_46,C08,Box_46_C08,2024-03-26T14:13:46Z,,
4380,c31,0x79c,Box_46,D08,Box_46_D08,2024-03-26T14:13:59Z,,
4381,c31,0x7cf,Box_46,E08,Box_46_E08,2024-03-26T14:14:18Z,,
4382,c31,0x481,Box_46,F08,Box_46_F08,2024-03-26T14:14:36Z,,
4383,c31,0x420,Box_46,G08,Box_46_G08,2024-03-26T14:14:59Z,,
4384,c31,0x232,Box_46,H08,Box_46_H08,2024-03-26T14:15:31Z,,
4385,c31,0x7aa,Box_46,A09,Box_46_A09,2024-03-26T14:16:04Z,,
4386,c31,0x651,Box_46,B09,Box_46_B09,2024-03-26T14:16:13Z,,
4387,c31,0x404,Box_46,C09,Box_46_C09,2024-03-26T14:16:25Z,,
4388,c31,0x1b7,Box_46,D09,Box_46_D09,2024-03-26T14:16:39Z,,
4389,c31,0x199,Box_46,E09,Box_46_E09,2024-03-26T14:16:54Z,,
4390,c31,0x315,Box_46,F09,Box_46_F09,2024-03-26T14:17:04Z,,
4391,c31,0x50f,Box_46,G09,Box_46_G09,2024-03-26T14:17:14Z,,
4392,c31,0x4a8,Box_46,H09,Box_46_H09,2024-03-26T14:17:31Z,,
4393,c31,0x030,Box_46,A10,Box_46_A10,2024-03-26T14:18:04Z,,
4394,c31,0x161,Box_46,B10,Box_46_B10,2024-03-26T14:18:21Z,,
4395,c31,0x1e2,Box_46,C10,Box_46_C10,2024-03-26T14:18:36Z,,
4396,c31,0x47f,Box_46,D10,Box_46_D10,2024-03-26T14:18:47Z,,
4397,c31,0x5e1,Box_46,E10,Box_46_E10,2024-03-26T14:19:13Z,,
4398,c31,0x5ef,Box_46,F10,Box_46_F10,2024-03-26T14:19:29Z,,
4399,c31,0x532,Box_46,G10,Box_46_G10,2024-03-26T14:19:41Z,,
4400,c31,0x376,Box_46,H10,Box_46_H10,2024-03-26T14:19:53Z,,
4401,c31,0x205,Box_46,A11,Box_46_A11,2024-03-26T14:20:22Z,,
4402,c31,0x586,Box_46,B11,Box_46_B11,2024-03-26T14:20:32Z,,
4403,c31,0x187,Box_46,C11,Box_46_C11,2024-03-26T14:20:39Z,,
4404,c31,0x714,Box_46,D11,Box_46_D11,2024-03-26T14:21:09Z,,
4405,c31,0x4c3,Box_46,E11,Box_46_E11,2024-03-26T14:21:27Z,,
4406,c31,0x033,Box_46,F11,Box_46_F11,2024-03-26T14:21:47Z,,
4407,c31,0x1d1,Box_46,G11,Box_46_G11,2024-03-26T14:21:56Z,,
4408,c31,0x779,Box_46,H11,Box_46_H11,2024-03-26T14:22:16Z,,
4409,c31,0x5b6,Box_46,A12,Box_46_A12,2024-03-26T14:22:42Z,,
4410,c31,0x772,Box_46,B12,Box_46_B12,2024-03-26T14:23:05Z,,
4411,c31,0x11d,Box_46,C12,Box_46_C12,2024-03-26T14:23:22Z,,
4412,c31,0x4cd,Box_46,D12,Box_46_D12,2024-03-26T14:23:37Z,,
4413,c31,0x1d0,Box_46,E12,Box_46_E12,2024-03-26T14:23:54Z,,
4414,c31,0x27e,Box_46,F12,Box_46_F12,2024-03-26T14:24:09Z,,
4415,c31,0x77b,Box_46,G12,Box_46_G12,2024-03-26T14:24:20Z,,
4416,c31,0x69d,Box_46,H12,Box_46_H12,2024-03-26T14:24:30Z,,
4417,c31,0x083,Box_47,A01,Box_47_A01,2024-03-26T14:28:40Z,,
4418,c31,0x489,Box_47,B01,Box_47_B01,2024-03-26T14:28:49Z,,
4419,c31,0x663,Box_47,C01,Box_47_C01,2024-03-26T14:29:01Z,,
4420,c31,0x1d9,Box_47,D01,Box_47_D01,2024-03-26T14:29:33Z,,
4421,c31,0x599,Box_47,E01,Box_47_E01,2024-03-26T14:29:59Z,,
4422,c31,0x329,Box_47,F01,Box_47_F01,2024-03-26T14:30:53Z,,
4423,c31,0x455,Box_47,G01,Box_47_G01,2024-03-26T14:31:04Z,,
4424,c31,0x15a,Box_47,H01,Box_47_H01,2024-03-26T14:31:17Z,,
4425,c31,0x02f,Box_47,A02,Box_47_A02,2024-03-26T14:31:35Z,,
4426,c31,0x831,Box_47,B02,Box_47_B02,2024-03-26T14:31:49Z,,
4427,c31,0x3e1,Box_47,C02,Box_47_C02,2024-03-26T14:32:01Z,,
4428,c31,0x41c,Box_47,D02,Box_47_D02,2024-03-26T14:32:15Z,,
4429,c31,0x29b,Box_47,E02,Box_47_E02,2024-03-26T14:32:32Z,,
4430,c31,0x832,Box_47,F02,Box_47_F02,2024-03-26T14:32:50Z,,
4431,c31,0x7c4,Box_47,G02,Box_47_G02,2024-03-26T14:33:06Z,,
4432,c31,0x0c5,Box_47,H02,Box_47_H02,2024-03-26T14:33:36Z,,
4433,c31,0x5ac,Box_47,A03,Box_47_A03,2024-03-26T14:33:54Z,,
4434,c31,0x3c4,Box_47,B03,Box_47_B03,2024-03-26T14:34:04Z,,
4435,c31,0x0ff,Box_47,C03,Box_47_C03,2024-03-26T14:34:20Z,,
4436,c31,0x63c,Box_47,D03,Box_47_D03,2024-03-26T14:34:34Z,,
4437,c31,0x541,Box_47,E03,Box_47_E03,2024-03-26T14:34:55Z,,
4438,c31,0x037,Box_47,F03,Box_47_F03,2024-03-26T14:35:08Z,,
4439,c31,0x020,Box_47,G03,Box_47_G03,2024-03-26T14:35:22Z,,
4440,c31,0x0ce,Box_47,H03,Box_47_H03,2024-03-26T14:35:39Z,,
4441,c31,0x1a1,Box_47,A04,Box_47_A04,2024-03-26T14:36:09Z,,
4442,c31,0x471,Box_47,B04,Box_47_B04,2024-03-26T14:36:22Z,,
4443,c31,0x37f,Box_47,C04,Box_47_C04,2024-03-26T14:36:46Z,,
4444,c31,0x72b,Box_47,D04,Box_47_D04,2024-03-26T14:36:57Z,,
4445,c31,0x011,Box_47,E04,Box_47_E04,2024-03-26T14:37:16Z,,
4446,c31,0x20b,Box_47,F04,Box_47_F04,2024-03-26T14:37:28Z,,
4447,c31,0x5c2,Box_47,G04,Box_47_G04,2024-03-26T14:37:44Z,,
4448,c31,0x40a,Box_47,H04,Box_47_H04,2024-03-26T14:37:52Z,,
4449,c31,0x589,Box_47,A05,Box_47_A05,2024-03-26T14:38:10Z,,
4450,c31,0x17e,Box_47,B05,Box_47_B05,2024-03-26T14:38:51Z,,
4451,c31,0x0bb,Box_47,C05,Box_47_C05,2024-03-26T14:39:05Z,,
4452,c31,0x3ef,Box_47,D05,Box_47_D05,2024-03-26T14:39:21Z,,
4453,c31,0x534,Box_47,E05,Box_47_E05,2024-03-26T14:39:46Z,,
4454,c31,0x142,Box_47,F05,Box_47_F05,2024-03-26T14:40:11Z,,
4455,c31,0x3fb,Box_47,G05,Box_47_G05,2024-03-26T14:40:25Z,,
4456,c31,0x3fe,Box_47,H05,Box_47_H05,2024-03-26T14:40:40Z,,
4457,c31,0x280,Box_47,A06,Box_47_A06,2024-03-26T14:41:04Z,,
4458,c31,0x7a4,Box_47,B06,Box_47_B06,2024-03-26T14:41:20Z,,
4459,c31,0x722,Box_47,C06,Box_47_C06,2024-03-26T14:41:42Z,,
4460,c31,0x386,Box_47,D06,Box_47_D06,2024-03-26T14:41:54Z,,
4461,c31,0x2c3,Box_47,E06,Box_47_E06,2024-03-26T14:42:27Z,,
4462,c31,0x0b5,Box_47,F06,Box_47_F06,2024-03-26T14:43:01Z,,
4463,c31,0x46e,Box_47,G06,Box_47_G06,2024-03-26T14:43:12Z,,
4464,c31,0x113,Box_47,H06,Box_47_H06,2024-03-26T14:43:23Z,,
4465,c31,0x801,Box_47,A07,Box_47_A07,2024-03-26T14:45:01Z,,
4466,c31,0x7d4,Box_47,B07,Box_47_B07,2024-03-26T14:45:16Z,,
4467,c31,0x78d,Box_47,C07,Box_47_C07,2024-03-26T14:45:38Z,,
4468,c31,0x1f5,Box_47,D07,Box_47_D07,2024-03-26T14:45:54Z,,
4469,c31,0x570,Box_47,E07,Box_47_E07,2024-03-26T14:46:19Z,,
4470,c31,0x0f2,Box_47,F07,Box_47_F07,2024-03-26T14:46:36Z,,
4471,c31,0x733,Box_47,G07,Box_47_G07,2024-03-26T14:46:52Z,,
4472,c31,0x405,Box_47,H07,Box_47_H07,2024-03-26T14:47:05Z,,
4473,c31,0x661,Box_47,A08,Box_47_A08,2024-03-26T14:47:55Z,,
4474,c31,0x456,Box_47,B08,Box_47_B08,2024-03-26T14:48:35Z,,
4475,c31,0x61b,Box_47,C08,Box_47_C08,2024-03-26T14:49:34Z,,
