sample_id,spore_concentration[ng/ul]
2060,0.001434359
2061,0.00212997
2062,0.000726822
2063,0.001164881
2064,0.000119305
2065,0.000606878
2066,0.006220324
2067,0.025080502
2068,0.000554547
2069,0.000648217
2070,0.001516207
2071,0.000149474
2072,0.004131163
2073,0.000396122
2074,0.014449015
2075,0.012490351
2076,0.001532065
2077,0.001973492
2078,0.171322142
2079,0.000249744
2080,0.000685206
2081,0.001371123
2082,0.000424575
2083,0.000429016
2084,0.001117393
2085,0.002050239
2086,0.003437476
2087,0.001371123
2240,0.000421641
1697,0.000888775
1698,0.002306842
1699,0.000789911
1700,0.001659287
1701,0.064200322
1702,0.000308587
1703,0.000424575
1704,0.048308385
1705,0.000542174
1706,0.00191494
1707,0.001490889
1708,0.015401891
1709,0.003661082
1710,0.000529315
1711,0.002234437
1712,0.000351967
1713,0.00033547
1714,0.008251712
1715,0.009694721
1716,0.001585808
1717,0.017787685
1718,7.67907E-05
1719,0.001485786
1720,9.11522E-05
2241,0.001769718
2242,0.003788796
2243,0.021114374
2244,0.077441863
2245,0.004184921
2246,0.054027186
2247,0.001440634
2248,0.002970091
2249,0.002022936
2250,0.825100814
2251,0.035802328
2252,3.099765427
2253,0.002679751
2254,0.007169483
2255,0.214417867
2256,0.003314541
2257,0.002485035
2258,0.001406467
2259,0.001537616
2260,0.001001615
2261,0.007891958
2262,0.005356831
2263,0.001658097
2264,0.005393694
2265,0.000367216
2266,0.000553678
2267,0.007161068
2268,0.027199957
2269,0.002731899
2270,0.069434593
2271,0.069205037
2272,0.000170318
2273,0.001581843
2274,0.000128533
2275,0.000336922
2276,0.003620018
2277,0.000310152
2278,0.003893596
2279,0.000374585
2280,0.008677463
2281,0.004430373
2282,0.002202837
2283,0.001515189
2284,0.000619663
2285,0.004415726
2286,0.003717203
2287,0.013302071
2288,0.000284565
2289,0.101954381
2290,0.000968972
2291,0.009302395
2292,0.002871028
2293,0.002669299
2294,0.058064896
2295,0.000651221
2296,0.002210143
2297,0.000553678
2298,0.000373347
2299,0.001505187
2300,0.003007268
2301,0.001098911
2302,0.03209798
2303,0.041973102
2304,0.000845951
2537,0.000841807
2538,0.064369628
2539,0.000266621
2540,0.030105598
2541,0.000788427
2542,0.000501705
2543,0.000354533
2544,0.00057194
2545,0.066731233
2546,0.000833575
2547,0.000887102
2548,0.00031304
2549,0.11494074
2550,0.002464972
2551,0.003861025
2552,0.001069201
2553,0.003059855
2554,0.000438655
2555,0.000253007
2556,0.045042454
2557,0.008391684
2558,0.00057194
2559,0.230929337
2560,0.011231995
2561,0.021204763
2562,0.00090175
2563,0.000542737
2564,0.000981913
2565,0.002346787
2566,0.000678147
2567,0.000669319
2568,0.003182523
2305,0.004714968
2306,0.058536504
2307,0.002385538
2308,0.003454105
2309,0.001553213
2310,0.001788139
2311,0.00301015
2312,0.001563422
2313,0.000926754
2314,0.009285203
2315,0.004572628
2316,0.024365457
2317,0.003677154
2318,0.002317758
2319,0.001787798
2320,0.001513338
2321,0.011808349
2322,0.009225872
2323,0.01740274
2324,0.00775963
2325,0.001419373
2326,0.09213877
2327,0.002634795
2328,0.009225872
2329,0.002882186
2330,0.005542224
2331,0.001893974
2332,0.005401922
2333,0.008542798
2334,0.001285125
2335,0.108153592
2336,0.003350771
2337,0.008326536
2338,0.004691391
2339,0.039533216
2340,0.000380186
2341,0.002302948
2342,0.001513338
2343,0.003308086
2344,0.001437687
2345,0.003958468
2346,0.004706452
2347,0.00590913
2348,0.013994701
2349,0.002643254
2350,0.005265172
2351,0.000960011
2352,0.007910298
2353,0.000295381
2354,0.004294292
2355,0.000784613
2356,0.000572103
2357,0.001659327
2358,0.000481414
2359,0.004875813
2360,0.012293983
2361,0.000882203
2362,0.002413072
2363,0.000649575
2364,0.002174274
2365,0.000259306
2366,0.007044606
2367,0.000508817
2368,0.00190873
2369,0.001299762
2370,0.001186492
2371,0.002397407
2372,0.007445586
2373,0.001108066
2374,0.000641169
2375,0.00053255
2376,0.002558743
2377,0.006841141
2378,0.002268295
2379,0.001725452
2380,0.049222183
2381,0.000433774
2382,0.000668895
2383,0.029138518
2384,0.003894612
2385,0.000702379
2386,0.022165162
2387,0.00077952
1645,0.00011084
1646,0.002153137
1647,0.000664552
1648,0.001233774
1721,0.000173263
1722,0.211221594
1723,0.022778943
1724,0.003665505
1725,1.043834001
1726,0.004443441
1727,0.014057439
1728,0.00367672
2593,0.002595436
2594,0.000588041
2595,0.001849015
2596,0.000489555
2597,0.000874753
2598,0.002063972
2599,0.00579625
2600,0.001641334
2601,0.000495574
2602,0.002733791
2603,0.002108585
2604,0.000439912
2605,0.001553515
2606,0.001031645
2607,0.000248463
2608,0.020469023
2609,9.54966E-05
2610,0.001137592
2611,0.076604714
2612,0.004041941
2613,0.002227782
2614,0.001935717
2615,0.000760072
2616,0.000474826
2617,0.000967539
2618,0.002563914
2619,0.004104155
2620,0.00433616
2621,0.004694626
2622,0.003944354
2623,0.001250593
2624,0.001488473
2625,0.003305421
2626,0.000456218
2627,0.006227838
2628,0.000557159
2629,0.001798043
2630,0.000382868
2631,0.004854704
2632,0.000614773
2633,0.003772704
2634,0.00049724
2635,0.006893003
2636,0.002216222
2637,0.000841268
2638,0.000637882
2639,0.000494191
2640,0.000230512
2641,0.001169046
2642,0.004884653
2643,0.002968142
2644,0.00210982
2645,0.000192265
2646,0.001169046
2647,0.015333292
2648,0.000818305
2649,0.061367814
2650,0.001401605
2651,0.002320842
2652,0.000574558
2653,0.002116318
2654,0.001085875
2655,0.002202634
2656,0.001551303
2657,0.003669723
2658,0.871900834
2659,0.277757267
2660,0.001270252
2661,0.03379527
2662,0.000605393
2663,0.005558073
2664,0.001427705
2665,0.00054867
2666,0.011474851
2667,0.001069795
2668,0.001359789
2669,0.000855398
2670,0.006079042
2671,0.001479353
2672,0.000622605
2673,0.001700606
2674,0.000382873
2675,0.000144322
2676,0.000936665
2677,0.002313857
2678,0.003028145
2679,0.000389129
2680,0.114610353
2681,0.137868019
2682,0.000117665
2683,0.002175654
2684,0.000550452
2685,0.058211886
2686,0.000270664
2687,0.002668553
2688,4.02434E-05
2689,0.008244423
2690,0.000796524
2691,0.000651509
2692,0.05562931
2693,0.001450861
2694,0.00228405
2695,0.000732147
2696,0.00043306
2697,0.000117284
2698,0.001258016
2699,0.000763657
2700,0.000403254
2701,0.056538235
2702,0.007802416
2703,0.158487578
2704,0.00549789
2705,0.005034524
2706,0.032674416
2707,0.019936613
2708,0.004021914
2709,0.001312797
2710,0.002650414
2711,0.005816389
2712,0.003735843
2713,0.035289476
2714,0.26545013
2715,0.004100078
2716,0.000879113
2717,0.002124131
2718,0.011555888
2719,0.001954148
2720,0.134037489
2721,0.000910689
2722,0.008968889
2723,0.00224319
2724,0.002790007
2725,0.043751324
2726,0.032154497
2727,0.004193191
2728,0.001752217
2729,0.001251121
2730,0.000550344
2731,0.002684643
2732,0.27060903
2733,0.001062294
2734,0.000539852
2735,0.001107533
2736,0.001617176
2737,0.067898917
2738,0.012440776
2739,0.01163027
2740,0.000633776
2741,0.061471373
2742,0.002063679
2743,0.001769161
2744,0.014936926
2745,0.000771135
2746,0.000729194
2747,0.005698395
2748,0.002639048
2749,0.024150833
2750,0.000612526
2751,0.055147336
2752,0.001412547
2753,0.070578703
2754,0.037038832
2755,0.119077533
2756,0.023835129
2757,0.017040985
2758,0.029712376
2759,0.001837787
2760,0.00357177
2761,0.000104354
2762,0.01464794
2763,0.096788678
2764,0.000694086
2765,0.002231443
2766,0.001600633
2767,0.010301737
2768,0.000876694
2769,0.003752437
2770,0.000945599
2771,0.002068839
2772,0.006105965
2773,0.000882481
2774,0.001627178
2775,0.005370772
2776,0.01643537
2777,0.002545259
2778,0.002124007
2779,0.037160875
2780,0.00039808
2781,0.000496239
2782,0.0046014
2783,0.149911753
2784,0.220286724
2785,0.00129353
2786,0.003983998
2787,0.027574336
2788,0.000665601
2789,0.140112218
2790,0.002319759
2791,0.071652185
2792,0.002970399
2793,0.004976843
2794,0.01523394
2795,0.001586202
2796,0.106091966
2797,0.069257336
2798,0.030440646
2799,0.002088381
2800,0.002075513
2801,0.002088381
2802,0.005477225
2803,0.005069986
2804,0.203646134
2805,0.00518086
2806,0.091465917
2807,0.002741062
2808,0.004425397
2809,0.000493203
2810,0.003687783
2811,0.000967418
2812,0.000511837
2813,0.003120967
2814,0.017399016
2815,0.003553526
2816,0.068406471
2817,0.003780094
2818,0.041592116
2819,0.000970413
2820,0.067566058
2821,0.004109042
2822,0.00244489
2823,0.001687335
2824,0.001359098
2825,0.003147029
2826,0.001092741
2827,0.000475268
2828,0.000673116
2829,0.001202292
2830,0.001169917
2831,0.00066173
2832,0.000204604
2833,7.89711E-05
2834,0.025140094
2835,0.002708308
2836,0.00864048
2837,0.005232403
2838,0.001185994
2839,0.00095008
2840,1.24672E-05
2841,0.000508834
2842,0.060837915
2843,0.000993173
2844,0.000475268
2845,0.177012268
2846,0.001056084
2847,0.000174287
2848,0.001115344
2849,0.00229132
2850,0.000703647
2851,0.007906949
2852,0.116340758
2853,0.002283515
2854,0.332775636
2855,0.000969732
2856,0.001470419
2857,0.006898166
2858,0.001158002
2859,1.845254402
2860,0.000245162
2861,0.000459324
2862,0.063164785
2863,0.012237419
2864,0.086458593
2865,2.010773826
2866,0.00527353
2867,0.004267876
2868,0.073073484
2869,0.001554705
2870,0.030261229
2871,0.000151172
2872,0.005533315
2873,0.206468648
2874,0.00134154
2875,0.02304326
2876,0.000144074
2877,0.000907292
2878,0.016247513
2879,0.001458151
2880,0.001620867
2881,0.001214628
2882,0.000870257
2883,0.002343463
2884,0.003532386
2885,0.005586788
2886,0.002204982
2887,0.000514418
2888,0.000531176
2889,0.00128678
2890,0.046798808
2891,0.00111035
2892,0.000808399
2893,0.001242194
2894,0.000834734
2895,0.004728946
2896,0.000910205
2897,0.002313604
2898,0.006728429
2899,0.017157556
2900,0.001564705
2901,0.00582454
2902,0.001896568
2903,0.000318036
2904,0.000263228
2905,0.001845184
2906,0.000241344
2907,0.019886245
2908,0.045274425
2909,0.000488985
2910,0.001631494
2911,0.000194892
2912,0.001146188
2913,0.012075969
2914,0.00044084
2915,0.010746846
2916,0.000934618
2917,0.001723849
2918,0.001203251
2919,0.00054946
2920,0.005003816
2921,0.000650256
2922,0.000540633
2923,0.001040052
2924,0.000114577
2925,0.000174569
2926,0.005770266
2927,0.002793164
2928,0.007168765
2929,0.00553234
2930,0.008763131
2931,0.014061659
2932,0.001131433
2933,0.001000402
2934,0.000346885
2935,0.012595314
2936,0.001786376
2937,0.001647424
2938,0.034378268
2939,0.000576815
2940,0.00152421
2941,0.000184451
2942,0.004001653
2943,0.00144255
2944,0.000839872
2945,0.06752079
